game_id,jurisdiction,operator,name,status,category,base_price,currency,mechanics,draw_schedule,payout_structure,top_prize_or_jackpot,priority,verified_on,official_source,notes
az_besde5,AZ,Azərlotereya,Beşdə 5,active,draw_numbers,2,AZN,"pick 5 from 36; draw 5 from 36","daily","fixed prize tiers for 2/3/4/5 matches","50,000 AZN advertised top prize",1,2026-08-11,https://www.azerlotereya.com/game/besde5,"Combination play supports selecting 6–13 numbers; pricing scales with generated variants. Current official page says validity 2025-01-07 to 2029-01-07."
az_4plus4,AZ,Azərlotereya,4+4,active,two_board_draw,2,AZN,"board A: pick 4 from 20; board B: pick 4 from 20; 4 numbers drawn for A then balls returned and 4 drawn for B","schedule pending verification","11 prize categories; jackpot for 4+4","progressive jackpot",1,2026-08-11,https://www.azerlotereya.com/game/fourplus,"Official page supports 5+5 and 6+6 combination entries. Winnings above stated threshold subject to tax formula on official page; exact tax treatment must be modeled separately."
az_superkeno,AZ,Azərlotereya,Super Keno,active,keno,1,AZN,"pick 10 from 70; draw 20 from 70","schedule pending verification","fixed tiers for matching 10/9/8/7/6/5 or exactly 1; optional multipliers","100,000 AZN base top tier; up to 1,000,000 AZN advertised with multiplier",1,2026-08-11,https://www.azerlotereya.com/game/superkeno,"Important modeling detail: official page advertises up to 1,000,000 AZN while base prize table shows 100,000 AZN; multiplier mechanics explain the difference and must be represented explicitly."
az_expresskeno,AZ,Azərlotereya,Ekspres Keno,active,fast_keno,,AZN,"details pending capture","every 5 minutes","pending capture","up to 1,000,000 AZN advertised",2,2026-08-11,https://www.azerlotereya.com/,"High draw frequency makes this useful for statistical power and RNG diagnostics, but rules/prize table still need official-page capture."
az_sansli6,AZ,Azərlotereya,Şanslı 6,active,fast_draw,,AZN,"6 colored-number game; details pending capture","every 5 minutes","pending capture","up to 100,000 AZN advertised",3,2026-08-11,https://www.azerlotereya.com/,"High-frequency comparator; exact mechanics pending."
az_bingo,AZ,Azərlotereya,Binqo,active,bingo,,AZN,"details pending capture","daily per operator overview","jackpot","progressive jackpot",3,2026-08-11,https://www.azerlotereya.com/,"Different game family useful for testing whether structural payout opportunities exist outside number-pick lotteries."
us_powerball_us,US,Multi-State Lottery Association,Powerball,active,multi_pool_jackpot,2,USD,"pick 5 from 69 + 1 Powerball from 26","Mon/Wed/Sat 22:59 ET","8 lower tiers plus shared progressive jackpot","progressive jackpot",1,2026-08-11,https://www.powerball.com/,"Jackpot odds 1 in 292,201,338; overall prize odds about 1 in 24.9. Jackpot is pari-mutuel. Taxes and purchase rules vary by jurisdiction."
uk_powerball,UK,The UK National Lottery / MUSL,Powerball,active,multi_pool_jackpot,4,GBP,"same 5-from-69 + 1-from-26 jackpot draw as US Powerball","Mon/Wed/Sat equivalent shared draw","UK lower tiers administered separately; jackpot shared with US pool","shared progressive Powerball jackpot",1,2026-08-11,https://www.powerball.com/faqs,"UK sales began 2026-07-21. Same jackpot odds as US but different ticket price, lower-tier payouts and payout/tax presentation; strong cross-jurisdiction EV comparison candidate."
us_megamillions,US,Mega Millions Consortium,Mega Millions,active,multi_pool_jackpot,5,USD,"pick 5 from 70 + 1 Mega Ball from 24","Tue/Fri 23:00 ET","9 ways to win; random built-in 2x/3x/4x/5x/10x multiplier on non-jackpot prizes","progressive jackpot",1,2026-08-11,https://www.megamillions.com/FAQs.aspx,"Current format began in April 2025. Jackpot odds 1 in 290,472,336; overall prize odds about 1 in 23. California lower-tier payouts are pari-mutuel."
uk_lotto,UK,The UK National Lottery,Lotto,active,draw_numbers,2,GBP,"pick 6 from 59","Wed/Sat","fixed/variable prize structure with Must Be Won mechanics","progressive / Must Be Won",1,2026-08-11,https://www.national-lottery.co.uk/games/lotto/about-lotto,"Must Be Won mechanics deserve dedicated roll-down-style EV analysis."
eu_euromillions,Europe/UK,EuroMillions participating lotteries,EuroMillions,active,multi_pool_jackpot,2.5,GBP,"UK entry: pick 5 from 50 + 2 Lucky Stars from 12","Tue/Fri","13 draw-prize tiers for UK entry plus UK Millionaire Maker","progressive capped/rollover jackpot",1,2026-08-11,https://www.national-lottery.co.uk/games/euromillions,"UK price includes Millionaire Maker. Prize values vary by sales, exchange rates and winner counts; requires pari-mutuel/cross-currency treatment."
hist_cash_winfall,US-MA,Massachusetts State Lottery,Cash WinFall,discontinued,rolldown_case,2,USD,"historical 6-number draw game; exact rules to reconstruct from primary documents","historical","jackpot rolled down into lower prize tiers when trigger conditions were met","historical jackpot/rolldown",1,2026-08-11,https://archives.lib.state.ma.us/entities/publication/e47fb189-7c00-4409-887a-d7d37e7144af,"Benchmark case for verified structural positive-EV analysis; reconstruct from official Massachusetts reports rather than secondary retellings."
