baseline_expected_other_winners,relative_competitor_intensity,conditional_expected_share_poisson,relative_payout_vs_baseline
10,0.5,0.198652410600,1.986614298151
10,0.6,0.166253541304,1.662610895457
10,0.8,0.124958067172,1.249637405166
10,1,0.099995460007,1.000000000000
10,1.2,0.083332821316,0.833366047916
10,1.5,0.066666646273,0.666696730717
10,2,0.049999999897,0.500022699965
100,0.5,0.020000000000,2.000000000000
100,0.6,0.016666666667,1.666666666667
100,0.8,0.012500000000,1.250000000000
100,1,0.010000000000,1.000000000000
100,1.2,0.008333333333,0.833333333333
100,1.5,0.006666666667,0.666666666667
100,2,0.005000000000,0.500000000000
1000,0.5,0.002000000000,2.000000000000
1000,0.6,0.001666666667,1.666666666667
1000,0.8,0.001250000000,1.250000000000
1000,1,0.001000000000,1.000000000000
1000,1.2,0.000833333333,0.833333333333
1000,1.5,0.000666666667,0.666666666667
1000,2,0.000500000000,0.500000000000
10000,0.5,0.000200000000,2.000000000000
10000,0.6,0.000166666667,1.666666666667
10000,0.8,0.000125000000,1.250000000000
10000,1,0.000100000000,1.000000000000
10000,1.2,0.000083333333,0.833333333333
10000,1.5,0.000066666667,0.666666666667
10000,2,0.000050000000,0.500000000000
# Poisson sensitivity model. If X~Poisson(lambda) is the number of competing winners conditional on our category hit, expected share is E[1/(1+X)]=(1-exp(-lambda))/lambda. Relative competitor intensity a scales lambda to a*lambda. This is a generic magnitude screen, not an empirical crowd model for a specific game.
