seed,popular_line,anti_line,popular_score,anti_score,target_matches,competitor_matches,simulations,popular_competitor_probability,anti_competitor_probability,relative_intensity
0,"3 7 12 18 24 30","36 40 48 51 56 58",4.7371641174,0.1725061457,3,3,10000,0.0159,0.0058,0.3647798742
1,"3 7 12 18 24 30","36 40 48 51 56 58",4.7371641174,0.1725061457,3,3,10000,0.0170,0.0060,0.3529411765
2,"3 7 12 18 24 30","36 40 48 51 56 58",4.7371641174,0.1725061457,3,3,10000,0.0188,0.0063,0.3351063830
3,"3 7 12 18 24 30","36 40 48 51 56 58",4.7371641174,0.1725061457,3,3,10000,0.0167,0.0070,0.4191616766
4,"3 7 12 18 24 30","36 40 48 51 56 58",4.7371641174,0.1725061457,3,3,10000,0.0154,0.0076,0.4935064935
5,"3 7 12 18 24 30","36 40 48 51 56 58",4.7371641174,0.1725061457,3,3,10000,0.0142,0.0079,0.5563380282
6,"3 7 12 18 24 30","36 40 48 51 56 58",4.7371641174,0.1725061457,3,3,10000,0.0173,0.0074,0.4277456647
7,"3 7 12 18 24 30","36 40 48 51 56 58",4.7371641174,0.1725061457,3,3,10000,0.0157,0.0056,0.3566878981
8,"3 7 12 18 24 30","36 40 48 51 56 58",4.7371641174,0.1725061457,3,3,10000,0.0189,0.0068,0.3597883598
9,"3 7 12 18 24 30","36 40 48 51 56 58",4.7371641174,0.1725061457,3,3,10000,0.0165,0.0078,0.4727272727
