clock_time,minute_of_day,prior_mass_remaining,optimistic_p_T_next_30m_given_T_ge_now,optimistic_p_T_next_60m_given_T_ge_now
01:00,60,1.000000,0.050000,0.100000
08:00,480,0.800000,0.010417,0.020833
14:00,840,0.700000,0.017857,0.035714
18:00,1080,0.600000,0.062500,0.125000
20:00,1200,0.450000,0.166667,0.333333
21:00,1260,0.300000,0.250000,0.500000
22:00,1320,0.150000,0.285714,0.571429
22:30,1350,0.107143,0.400000,0.800000
23:00,1380,0.064286,0.666667,1.000000
23:15,1395,0.042857,1.000000,1.000000
23:20,1400,0.035714,1.000000,1.000000
23:30,1410,0.021429,1.000000,1.000000
23:40,1420,0.007143,1.000000,1.000000
