operator,competition,max_entries,entry_price_gbp,cash_alternative_gbp,full_cap_revenue_gbp,cash_to_cap_revenue_ratio,max_entries_per_person,observed_external_entries,guarantee_blocker
Coast Competitions,Nintendo Switch + Pokemon,300,1.99,280,597.00,0.4690117253,,148,"cash<full cost; external entries"
Hot Comps,Target Omni or Scolia,179,5.00,400,895.00,0.4469273743,35,,"cash<full cost; personal cap; free postal route"
Hot Comps,LEGO SpongeBob,189,2.00,150,378.00,0.3968253968,19,,"cash<full cost; personal cap; free postal route"
Hot Comps,2G Gold Bar,499,1.50,230,748.50,0.3072812291,,,"cash<full cost"
7days Performance,VW Golf R Black Edition,99999,0.79,30000,78999.21,0.3797506329,1300,1204,"cash<full cost; personal cap; external entries; free postal route"
7days Performance,Volvo XC40,99999,0.69,28000,68999.31,0.4058011594,1450,624,"cash<full cost; personal cap; external entries; free postal route"
7days Performance,Lancer Evolution VIII,23999,2.50,17500,59997.50,0.2916788199,150,983,"cash<full cost; personal cap; external entries; free postal route"
7days Performance,Rolex Bruce Wayne,199999,0.17,10000,33999.83,0.2941191177,2950,1056,"cash<full cost; personal cap; external entries; free postal route"
7days Performance,Audi RS3 Carbon Edition,299999,0.25,40000,74999.75,0.5333351111,4000,26738,"cash<full cost; personal cap; external entries; free postal route"
7days Performance,Lamborghini Huracan,599999,0.35,100000,209999.65,0.4761912698,2900,131485,"cash<full cost; personal cap; external entries; free postal route"
Urban Draw,Rolex Submariner,900,35.00,9000,31500.00,0.2857142857,75,,"cash<full cost; personal cap"
Urban Draw,Land-Dweller,610,75.00,17000,45750.00,0.3715846995,60,,"cash<full cost; personal cap"
UKCC,Defender 90,499999,0.19,35000,94999.81,0.3684217895,7900,56554,"cash<full cost; personal cap; external entries; free postal route"
