regime,pool_size,target_size,picks,stake_eur,payout_eur,variants,winning_variants,cost_eur,gross_eur,return_ratio
current_47,47,6,1,1,6,47,6,47,36,0.7659574468085106
current_47,47,6,2,1,45,1081,15,1081,675,0.6244218316373727
current_47,47,6,3,1,550,16215,20,16215,11000,0.6783842121492445
current_47,47,6,4,1,6000,178365,15,178365,90000,0.5045832982928266
current_47,47,6,5,1,125000,1533939,6,1533939,750000,0.4889373045473125
current_47,47,7,1,1,5,47,7,47,35,0.7446808510638298
current_47,47,7,2,1,32,1081,21,1081,672,0.6216466234967623
current_47,47,7,3,1,275,16215,35,16215,9625,0.5935861856305890
current_47,47,7,4,1,3000,178365,35,178365,105000,0.5886805146749643
current_47,47,7,5,1,40000,1533939,21,1533939,840000,0.5476097810929900
future_sensitivity_45,45,6,1,1,6,45,6,45,36,0.8
future_sensitivity_45,45,6,2,1,45,990,15,990,675,0.6818181818181818
future_sensitivity_45,45,6,3,1,550,14190,20,14190,11000,0.7751937984496124
future_sensitivity_45,45,6,4,1,6000,148995,15,148995,90000,0.6040471156750227
future_sensitivity_45,45,6,5,1,125000,1221759,6,1221759,750000,0.6138690199949417
future_sensitivity_45,45,7,1,1,5,45,7,45,35,0.7777777777777778
future_sensitivity_45,45,7,2,1,32,990,21,990,672,0.6787878787878788
future_sensitivity_45,45,7,3,1,275,14190,35,14190,9625,0.6782945736434108
future_sensitivity_45,45,7,4,1,3000,148995,35,148995,105000,0.7047216349541930
future_sensitivity_45,45,7,5,1,40000,1221759,21,1221759,840000,0.6875333023943347
