game,variant,N,draw_main,k,stake,variants,winners,deterministic_gross,optimistic_return_ratio,status
UK Lotto HotPicks,Pick 1,59,6,1,1.00,59,6,36,0.6101694915,rejected
UK Lotto HotPicks,Pick 2,59,6,2,1.00,1711,15,900,0.5260081823,rejected
UK Lotto HotPicks,Pick 3,59,6,3,1.00,32509,20,16000,0.4921713987,rejected
UK Lotto HotPicks,Pick 4,59,6,4,1.00,455126,15,195000,0.4284527801,rejected
UK Lotto HotPicks,Pick 5,59,6,5,1.00,5006386,6,2100000,0.4194642602,rejected
UK EuroMillions HotPicks,Pick 1,50,5,1,1.50,50,5,50,0.6666666667,rejected
UK EuroMillions HotPicks,Pick 2,50,5,2,1.50,1225,10,1000,0.5442176871,rejected
UK EuroMillions HotPicks,Pick 3,50,5,3,1.50,19600,10,15000,0.5102040816,rejected
UK EuroMillions HotPicks,Pick 4,50,5,4,1.50,230300,5,150000,0.4342162397,rejected
UK EuroMillions HotPicks,Pick 5,50,5,5,1.50,2118760,1,1000000,0.3146494490,rejected
Irish Daily Million,full 6-of-39 with bonus tiers,39,6,6,1.00,3262623,NA,1786800,0.5476575136,rejected
