game,play_type,incremental_fireball_cost_usd,published_fireball_prize_rows,fireball_ev_upper_usd,fireball_ev_ratio_upper,base_ev_ratio_upper,combined_base_plus_fireball_ev_ratio_upper,status
Pick3,Exact,1.0,"200@1/357",0.560224090,0.560224090,0.500000000,0.530112045,REJECT
Pick3,50/50 3-way,1.0,"33@1/122 + 133@1/345 (overlap deliberately double-counted)",0.655999050,0.655999050,0.500000000,0.577999525,REJECT
Pick3,50/50 6-way,1.0,"17@1/62 + 117@1/333 (overlap deliberately double-counted)",0.625544900,0.625544900,0.500000000,0.562772450,REJECT
Pick3,Any 3-way,1.0,"66@1/122",0.540983607,0.540983607,0.500000000,0.520491803,REJECT
Pick3,Any 6-way,1.0,"34@1/62",0.548387097,0.548387097,0.500000000,0.524193548,REJECT
Pick3,Combo 3-way,3.0,"200@1/122",1.639344262,0.546448087,0.500000000,0.523224044,REJECT
Pick3,Combo 6-way,6.0,"200@1/62",3.225806452,0.537634409,0.500000000,0.518817204,REJECT
Pick3,Pair,1.0,"20@1/36",0.555555556,0.555555556,0.500000000,0.527777778,REJECT
Pick4,Exact,1.0,"1500@1/2703",0.554938957,0.554938957,0.500000000,0.527469478,REJECT
Pick4,50/50 4-way,1.0,"190@1/699 + 940@1/2632 (overlap deliberately double-counted)",0.628959738,0.628959738,0.500000000,0.564479869,REJECT
Pick4,50/50 6-way,1.0,"125@1/472 + 875@1/2632 (overlap deliberately double-counted)",0.597277317,0.597277317,0.500000000,0.548638658,REJECT
Pick4,50/50 12-way,1.0,"64@1/240 + 814@1/2564 (overlap deliberately double-counted)",0.584139366,0.584139366,0.500000000,0.542069683,REJECT
Pick4,50/50 24-way,1.0,"32@1/123 + 782@1/2500 (overlap deliberately double-counted)",0.572962602,0.572962602,0.500000000,0.536481301,REJECT
Pick4,Any 4-way,1.0,"380@1/699",0.543633763,0.543633763,0.500000000,0.521816881,REJECT
Pick4,Any 6-way,1.0,"250@1/472",0.529661017,0.529661017,0.500000000,0.514830508,REJECT
Pick4,Any 12-way,1.0,"128@1/240",0.533333333,0.533333333,0.500000000,0.516666667,REJECT
Pick4,Any 24-way,1.0,"64@1/123",0.520325203,0.520325203,0.500000000,0.510162602,REJECT
Pick4,Combo 4-way,4.0,"1500@1/699",2.145922747,0.536480687,0.500000000,0.518240343,REJECT
Pick4,Combo 6-way,6.0,"1500@1/472",3.177966102,0.529661017,0.500000000,0.514830508,REJECT
Pick4,Combo 12-way,12.0,"1500@1/240",6.250000000,0.520833333,0.500000000,0.510416667,REJECT
Pick4,Combo 24-way,24.0,"1500@1/123",12.195121951,0.508130081,0.500000000,0.504065041,REJECT
Pick5,Exact,1.0,"12000@1/21739",0.552003312,0.552003312,0.500000000,0.526001656,REJECT
Pick5,Any 5-way,1.0,"2400@1/4525",0.530386740,0.530386740,0.500000000,0.515193370,REJECT
Pick5,Any 10-way,1.0,"1200@1/2299",0.521965985,0.521965985,0.500000000,0.510982992,REJECT
Pick5,Any 20-way,1.0,"600@1/1176",0.510204082,0.510204082,0.500000000,0.505102041,REJECT
Pick5,Any 30-way,1.0,"400@1/793.7",0.503968754,0.503968754,0.500000000,0.501984377,REJECT
Pick5,Any 60-way,1.0,"200@1/406.5",0.492004920,0.492004920,0.500000000,0.496002460,REJECT
Pick5,Any 120-way,1.0,"100@1/208.3",0.480076812,0.480076812,0.500000000,0.490038406,REJECT
Pick5,50/50 5-way,1.0,"7200@1/21277 + 1200@1/4525 (overlap deliberately double-counted)",0.603586941,0.603586941,0.500000000,0.551793470,REJECT
Pick5,50/50 10-way,1.0,"6600@1/21277 + 600@1/2299 (overlap deliberately double-counted)",0.571177142,0.571177142,0.500000000,0.535588571,REJECT
Pick5,50/50 20-way,1.0,"6300@1/20833 + 300@1/1176 (overlap deliberately double-counted)",0.557506879,0.557506879,0.500000000,0.528753440,REJECT
Pick5,50/50 30-way,1.0,"6200@1/20833 + 200@1/793.7 (overlap deliberately double-counted)",0.549589139,0.549589139,0.500000000,0.524794569,REJECT
Pick5,50/50 60-way,1.0,"6100@1/20408 + 100@1/406.5 (overlap deliberately double-counted)",0.545047708,0.545047708,0.500000000,0.522523854,REJECT
Pick5,50/50 120-way,1.0,"6050@1/20000 + 50@1/208.3 (overlap deliberately double-counted)",0.542538406,0.542538406,0.500000000,0.521269203,REJECT
