candidate,current_2026,azerbaijan_eligible,fixed_withdrawable_cash,self_controlled,principal_preserved,quota_or_discretion,terminal_result
Birbank first installment 50 bonus,no,yes,no,no,no,no,rejected
ABB Open Banking 5 AZN,no,yes,yes,no,no,yes,rejected
ABB Tam Visa bus 100 cashback,no,yes,yes,yes,no,no,rejected
Yelo Welcome cashback,no,yes,yes,yes,no,no,rejected
Leobank category cashback,yes,yes,yes,yes,no,no,rejected
Mox HKD200 no-min-spend,yes,no,yes,yes,yes,yes,rejected
Mox HKD2500 time-deposit reward,no,no,yes,yes,yes,yes,rejected
Payoneer USD300 AZ campaign,no,yes,yes,no,no,yes,rejected
Payoneer 2026 India/PH USD130,yes,no,yes,no,no,yes,rejected
Skrill/Neteller invitation cash credits,yes,unknown,yes,no,no,yes,rejected
