model,passport_or_variant,eligibility,published_buyer_rub_per_unit,priority,source_date
DP-12,"902;903;906",through_1990,6384.10,VERY_HIGH,2026-08-18
RES-22,unified_200-299,through_1974,4788.08,VERY_HIGH,2026-08-18
RES-32,unified_354_355,through_1982,3830.46,VERY_HIGH,2026-08-18
RPS-36,"254;255;256;264",through_1979-12,3724.06,VERY_HIGH,2026-08-18
RES-22,200-299,through_1982,3724.06,VERY_HIGH,2026-08-18
RES-7,all_passports,all_years,2647.38,HIGH,2026-08-18
RES-8,"050;051;052",through_1966-12,2470.89,HIGH,2026-08-18
RES-8,"050;051;052",through_1971-12,1976.71,HIGH,2026-08-18
RPS-36,"251;252;253",through_1991,1525.23,MEDIUM_HIGH,2026-08-18
RES-9,"213;215;216;217;218",through_1982,1384.16,MEDIUM_HIGH,2026-08-18
RES-9,"09;11;12;13;14",1982-1990,1384.16,MEDIUM_HIGH,2026-08-18
RES-9,"201;202;207;208",through_1982,564.77,MEDIUM,2026-08-18
RES-9,"01;02;06",1982_to_1985-07,529.48,MEDIUM,2026-08-18
RES-9,"01;02;06",1985-08_to_1989-12,55.88,LOW,2026-08-18
