subtype,material,source,status
K52-1,tantalum,https://elecond.ru/capacitor/k52-1/,confirmed
K52-19,tantalum,https://elecond.ru/capacitor/k52-19/,confirmed
K52-20,tantalum,https://elecond.ru/capacitor/k52-20/,confirmed
K52-21,tantalum,https://elecond.ru/capacitor/k52-21/,confirmed
K52-24,tantalum,https://elecond.ru/capacitor/k52-24/,confirmed
K52-26,tantalum,https://elecond.ru/capacitor/k52-26/,confirmed
K52-28,tantalum,https://elecond.ru/capacitor/k52-28/,confirmed
K52-30,tantalum,https://elecond.ru/capacitor/k52-30/,confirmed
K53-1A,tantalum,https://elecond.ru/capacitor/k53-1a/,confirmed
K53-4,niobium,https://elecond.ru/capacitor/k53-4/,confirmed-counterexample
K53-65,tantalum,https://elecond.ru/capacitor/k53-65/,confirmed
K53-68,tantalum,https://elecond.ru/capacitor/k53-68/,confirmed
K53-69,tantalum,https://elecond.ru/capacitor/k53-69/,confirmed
