current_N,prior_zero_categories,exact_iid_zero_probability,max_prior_overlay_per_prior_ticket_AZN,required_prior_current_sales_ratio
38000,II,0.8128503002,0.16,4.543536133
38000,II+III,0.0789942853,0.32,2.271768066
38000,II+III+V,0.0002178506,0.48,1.514512044
38000,II+III+VI,0.0001041114,0.48,1.514512044
38000,II+III+IV,0.0000559066,0.48,1.514512044
38000,II+III+IV+V+VI,0.000000000203,0.80,0.908707227
40000,II,0.8040337605,0.16,4.534719593
40000,II+III,0.0691153313,0.32,2.267359797
40000,II+III+V,0.0001397753,0.48,1.511573198
40000,II+III+VI,0.0000642529,0.48,1.511573198
42000,II,0.7953131380,0.16,4.526268326
42000,II+III,0.0604684288,0.32,2.263134163
42000,II+III+V,0.0000896849,0.48,1.508756109
42000,II+III+VI,0.0000396654,0.48,1.508756109
45000,II,0.7824089554,0.16,4.512675672
45000,II+III,0.0498173290,0.32,2.256337836
45000,II+III+V,0.0000462754,0.48,1.504225224
45000,II+III+VI,0.0000194596,0.48,1.504225224
50000,II,0.7613649079,0.16,4.491680858
50000,II+III,0.0354379011,0.32,2.245840429
50000,II+III+V,0.0000151981,0.48,1.497226953
50000,II+III+VI,0.0000057526,0.48,1.497226953
