k,combination_count,base_no_plus_return,hypothetical_50pct_promo_no_plus_return,base_plus_return,hypothetical_50pct_promo_plus_return
1,80,0.400000000,0.600000000,0.410000000,0.615000000
2,3160,0.384810127,0.577215190,0.408607595,0.612911392
3,82160,0.410710808,0.616066212,0.421665044,0.632497566
4,1581580,0.411431606,0.617147410,0.423149003,0.634723504
5,24040016,0.411613703,0.617420554,0.421475676,0.632213514
6,300500200,0.410839793,0.616259690,0.424791184,0.637186775
7,3176716400,0.409740448,0.614610672,0.424526418,0.636789627
8,28987537150,0.410378788,0.615568182,0.420810547,0.631215821
9,231900297200,0.409052581,0.613578872,0.419500609,0.629250913
10,1646492110120,0.409335536,0.614003304,0.424188924,0.636283386
