metric,value
full_space_lines,19191900
price_per_line_eur,2.5
full_space_cost_eur,47979750
tier1_count,1
tier2_count,4
tier3_count,1020
tier4_count,42075
tier5_count,598400
tier6_count,3478200
tier1_nominal_eur,7200000
tier2_nominal_each_eur,120000
promo_nominal_eur,120000
tier3_assumed_each_eur,503
tier4_assumed_each_eur,34
tier5_assumed_each_eur,5
tier6_assumed_each_eur,2.5
optimistic_gross_eur,21431110
optimistic_return_pct,44.6669897196
optimistic_deficit_eur,26548640
promo_share_of_spend_pct,0.2501055235
