spot_k,full_space_tickets,hit_k_winners_per_draw,break_even_payout_multiplier,payout_break_even_at_1,payout_break_even_at_2,payout_break_even_at_5,payout_break_even_at_10
1,80,20,4.000000,4.000000,8.000000,20.000000,40.000000
2,3160,190,16.631579,16.631579,33.263158,83.157895,166.315789
3,82160,1140,72.070175,72.070175,144.140351,360.350877,720.701754
4,1581580,4845,326.435501,326.435501,652.871001,1632.177503,3264.355005
5,24040016,15504,1550.568627,1550.568627,3101.137255,7752.843137,15505.686275
6,300500200,38760,7752.843137,7752.843137,15505.686275,38764.215686,77528.431373
7,3176716400,77520,40979.313725,40979.313725,81958.627451,204896.568627,409793.137255
8,28987537150,125970,230114.607843,230114.607843,460229.215686,1150573.039216,2301146.078431
9,231900297200,167960,1380687.647059,1380687.647059,2761375.294118,6903438.235294,13806876.470588
10,1646492110120,184756,8911711.176471,8911711.176471,17823422.352941,44558555.882353,89117111.764706
