k,tickets,base_gross,base_R,be_gross,be_R,dbe_nominal_gross,dbe_nominal_R,base_subsidy_needed,be_subsidy_needed,dbe_nominal_subsidy_needed
1,80,40,0.500000000,88,0.550000000,136,0.566666667,0.500000000,0.450000000,0.433333333
2,3160,1900,0.601265823,3788,0.599367089,5717,0.603059072,0.398734177,0.400632911,0.396940928
3,82160,51300,0.624391431,99660,0.606499513,150264,0.609639727,0.375608569,0.393500487,0.390360273
4,1581580,969000,0.612678461,1914160,0.605141694,2923280,0.616109629,0.387321539,0.394858306,0.383890371
5,24040016,14965920,0.622542015,28845515,0.599947916,44247950,0.613531899,0.377457985,0.400052084,0.386468101
6,300500200,180387900,0.600292113,359953005,0.598923071,563841720,0.625447970,0.399707887,0.401076929,0.374552030
7,3176716400,1919286900,0.604173196,3853085411,0.606457254,6097761964,0.639839087,0.395826804,0.393542746,0.360160913
8,28987537150,16871714430,0.582033387,34211453789,0.590106252,55020751034,0.632694328,0.417966613,0.409893748,0.367305672
9,231900297200,135654534840,0.584969215,279628462785,0.602906650,454549404234,0.653369012,0.415030785,0.397093350,0.346630988
10,1646492110120,990454745926,0.601554505,1978022520056,0.600677801,3180047117583,0.643802481,0.398445495,0.399322199,0.356197519
