spot,ways,cost,gross,ratio,required_subsidy
2,3160,790.00,617.50,0.78164557,0.21835443
3,82160,20540.00,16530.00,0.80477118,0.19522882
4,1581580,395395.00,320055.00,0.80945637,0.19054363
5,24040016,6010004.00,4729290.00,0.78690297,0.21309703
6,300500200,75125050.00,58963650.00,0.78487335,0.21512665
7,3176716400,794179100.00,635717295.00,0.80047095,0.19952905
8,28987537150,7246884287.50,5874581880.00,0.81063553,0.18936447
9,231900297200,57975074300.00,46802054000.00,0.80727890,0.19272110
10,1646492110120,411623027530.00,332881539000.00,0.80870485,0.19129515
11,10477677064400,2619419266100.00,2116574245120.00,0.80803187,0.19196813
12,60246643120300,15061660780075.00,12187000447420.00,0.80914055,0.19085945
13,315136287090800,78784071772700.00,63766844097080.00,0.80938752,0.19061248
14,1508152231077400,377038057769350.00,304477557377200.00,0.80755126,0.19244874
15,6635869816740560,1658967454185140.00,1337812855027040.00,0.80641296,0.19358704
