community_table,spots,ways,full_cover_cost,deterministic_gross,gross_ratio,subsidy_hurdle
omaha_quarter_mania,1,80,20.0,15.0,0.75,0.25
omaha_quarter_mania,2,3160,790.0,522.5,0.6613924050632911,0.3386075949367089
omaha_quarter_mania,3,82160,20540.0,13110.0,0.6382667964946446,0.3617332035053554
omaha_quarter_mania,4,1581580,395395.0,235125.0,0.5946585060509111,0.4053414939490889
omaha_quarter_mania,5,24040016,6010004.0,3968625.0,0.6603364989440939,0.33966350105590615
omaha_quarter_mania,6,300500200,75125050.0,45591450,0.6068741385197082,0.3931258614802918
omaha_quarter_mania,7,3176716400,794179100.0,488119215.0,0.6146210785451292,0.38537892145487085
omaha_quarter_mania,8,28987537150,7246884287.5,4238909880,0.5849285999103929,0.4150714000896071
omaha_quarter_mania,9,231900297200,57975074300.0,35886592000,0.6190003623677978,0.38099963763220224
omaha_quarter_mania,10,1646492110120,411623027530.0,235254659800,0.5715293947757918,0.4284706052242082
omaha_quarter_mania,11,10477677064400,2619419266100.0,1610964670560.0,0.6150083308192706,0.38499166918072936
omaha_quarter_mania,12,60246643120300,15061660780075.0,8915718456960,0.5919478991821779,0.40805210081782206
omaha_quarter_mania,13,315136287090800,78784071772700.0,42337467379200,0.5373861292844557,0.4626138707155443
omaha_quarter_mania,14,1508152231077400,377038057769350.0,222791251243400,0.5908985754952376,0.4091014245047624
omaha_quarter_mania,15,6635869816740560,1658967454185140.0,1008604687894400,0.6079713531148274,0.3920286468851726
omaha_quarter_mania,16,26958221130508525,6739555282627131.0,4226213714316500,0.62707605132502,0.37292394867498
lincoln_quarter_mania,1,80,20.0,15.0,0.75,0.25
lincoln_quarter_mania,2,3160,790.0,570,0.7215189873417721,0.2784810126582279
lincoln_quarter_mania,3,82160,20540.0,14250.0,0.6937682570593963,0.30623174294060374
lincoln_quarter_mania,4,1581580,395395.0,264337.5,0.6685403204390546,0.33145967956094535
lincoln_quarter_mania,5,24040016,6010004.0,4113975.0,0.6845211750275041,0.3154788249724959
lincoln_quarter_mania,6,300500200,75125050.0,46923825.0,0.6246095676475424,0.3753904323524576
lincoln_quarter_mania,7,3176716400,794179100.0,538817295.0,0.678458165167026,0.32154183483297405
lincoln_quarter_mania,8,28987537150,7246884287.5,4765309440.0,0.6575666522259205,0.3424333477740795
lincoln_quarter_mania,9,231900297200,57975074300.0,39911430400,0.6884239629167668,0.3115760370832332
lincoln_quarter_mania,10,1646492110120,411623027530.0,270207168100,0.6564432746180768,0.34355672538192317
lincoln_quarter_mania,11,10477677064400,2619419266100.0,1799971996560.0,0.6871645253033286,0.3128354746966714
lincoln_quarter_mania,12,60246643120300,15061660780075.0,10001791544700,0.6640563541260551,0.3359436458739449
lincoln_quarter_mania,13,315136287090800,78784071772700.0,49224153841760,0.6247982965868615,0.3752017034131385
lincoln_quarter_mania,14,1508152231077400,377038057769350.0,221953768768400,0.588677360798889,0.411322639201111
lincoln_quarter_mania,15,6635869816740560,1658967454185140.0,949515658596800,0.5723533974107936,0.4276466025892064
lincoln_quarter_mania,16,26958221130508525,6739555282627131.0,4226211320886500,0.6270756961932791,0.3729243038067209
