jurisdiction,pick,deterministic_cover_ratio,subsidy_hurdle
Ohio,1,0.500000,0.500000
Ohio,2,0.661392,0.338608
Ohio,3,0.652142,0.347858
Ohio,4,0.649439,0.350561
Ohio,5,0.649951,0.350049
Ohio,6,0.647920,0.352080
Ohio,7,0.652984,0.347016
Ohio,8,0.647475,0.352525
Ohio,9,0.648069,0.351931
Ohio,10,0.636694,0.363306
New York,1,0.500000,0.500000
New York,2,0.601266,0.398734
New York,3,0.596641,0.403359
New York,4,0.597361,0.402639
New York,5,0.603194,0.396806
New York,6,0.600292,0.399708
New York,7,0.593947,0.406053
New York,8,0.595558,0.404442
New York,9,0.598360,0.401640
New York,10,0.601555,0.398445
Maryland,1,0.500000,0.500000
Maryland,2,0.601266,0.398734
Maryland,3,0.624391,0.375609
Maryland,4,0.582045,0.417955
Maryland,5,0.542733,0.457267
Maryland,6,0.556276,0.443724
Maryland,7,0.595358,0.404642
Maryland,8,0.588053,0.411947
Maryland,9,0.563650,0.436350
Maryland,10,0.571241,0.428759
