external_sold,forced_buyer_winners,forced_payout_usd,remaining_cost_usd,strict_margin_usd,strict_return_ratio
0,3506,1550000,3000000,-1450000,0.516666667
1,3505,600000,2999980,-2399980,0.200001333
100,3406,503000,2998000,-2495000,0.167778519
1000,2506,250600,2980000,-2729400,0.084093960
2999,507,50700,2940020,-2889320,0.017244781
3000,506,50600,2940000,-2889400,0.017210884
3001,505,50500,2939980,-2889480,0.017176988
3499,7,700,2930020,-2929320,0.000238906
3500,6,600,2930000,-2929400,0.000204778
3504,2,200,2929920,-2929720,0.000068261
3505,1,100,2929900,-2929800,0.000034131
