metric,value
base_groups,5x16
base_plays,2800
base_worst_gross,2800
transversal_layers,6
plays_per_layer,256
addon_plays,1536
total_plays,4336
support_allocation,"3*(0,1,2)+1*(0,3,4)+1*(1,3,4)+1*(2,3,4)"
balanced_pair_only_gross,4240
minimum_nonbalanced_pair_only_gross,4370
balanced_required_full_triples,3
balanced_gross_if_three_full_triples,4345
conditional_floor_ratio_if_gate_met,1.0020756458
affine_test_coefficients,"012:[1,2,4];034:[1];134:[1];234:[1]"
affine_balanced_min_full_triples,0
affine_realization_status,rejected
