date,official_draw,internal_draw,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15,n16,n17,n18,n19,n20,source,source_url,note
2026-07-24,,,11,19,25,28,32,37,42,48,49,50,51,53,56,59,61,63,64,67,68,69,Magayo,https://www.magayo.com/lotto/azerbaijan/super-keno-results/,
2026-07-25,,,4,7,8,9,18,20,25,27,29,31,34,35,37,50,51,56,60,61,63,67,Magayo,https://www.magayo.com/lotto/azerbaijan/super-keno-results/,
2026-07-26,,,1,5,6,7,13,15,17,19,21,24,31,33,34,45,52,56,62,63,68,70,Magayo,https://www.magayo.com/lotto/azerbaijan/super-keno-results/,
2026-07-27,,,1,4,5,7,8,12,13,19,20,21,22,26,30,41,45,49,53,58,62,70,Magayo,https://www.magayo.com/lotto/azerbaijan/super-keno-results/,
2026-07-28,,,1,6,13,18,19,20,21,22,27,28,31,32,33,38,39,45,54,56,62,68,Magayo,https://www.magayo.com/lotto/azerbaijan/super-keno-results/,
2026-07-29,,,4,6,13,14,21,24,28,31,33,36,39,41,42,48,52,56,58,60,68,69,Magayo,https://www.magayo.com/lotto/azerbaijan/super-keno-results/,
2026-07-30,,,3,4,7,8,9,10,15,18,22,31,34,35,38,42,47,49,52,53,56,62,Magayo,https://www.magayo.com/lotto/azerbaijan/super-keno-results/,
2026-07-31,,,8,15,19,20,23,25,28,29,34,39,47,49,51,53,55,56,57,59,62,63,Magayo,https://www.magayo.com/lotto/azerbaijan/super-keno-results/,
2026-08-01,,,6,13,17,18,22,23,25,29,30,34,40,43,51,52,58,59,62,63,64,70,Magayo,https://www.magayo.com/lotto/azerbaijan/super-keno-results/,
2026-08-02,,,1,4,9,17,20,25,27,28,30,35,37,46,52,53,54,55,59,60,64,70,Magayo,https://www.magayo.com/lotto/azerbaijan/super-keno-results/,
2026-08-03,,,1,2,4,9,11,13,15,18,20,22,24,29,34,36,39,52,53,64,66,68,Magayo,https://www.magayo.com/lotto/azerbaijan/super-keno-results/,
2026-08-04,,,3,7,8,12,14,15,16,21,23,30,42,43,53,54,57,58,62,65,66,68,Magayo,https://www.magayo.com/lotto/azerbaijan/super-keno-results/,
2026-08-05,,,2,5,13,14,16,18,22,25,29,31,34,37,41,50,51,54,59,60,65,67,Magayo,https://www.magayo.com/lotto/azerbaijan/super-keno-results/,
2026-08-06,,,14,17,18,19,24,25,26,27,28,30,31,35,38,43,47,51,53,58,59,61,Magayo,https://www.magayo.com/lotto/azerbaijan/super-keno-results/,
2026-08-07,,,4,9,20,24,28,36,37,41,42,43,46,47,48,51,52,53,54,56,67,68,Magayo,https://www.magayo.com/lotto/azerbaijan/super-keno-results/,
2026-08-08,,,3,4,8,10,15,25,26,34,36,37,43,44,48,53,59,61,64,65,67,68,Magayo,https://www.magayo.com/lotto/azerbaijan/super-keno-results/,
2026-08-09,,,5,7,8,9,13,14,17,20,26,30,32,34,35,46,50,55,58,62,63,64,Magayo,https://www.magayo.com/lotto/azerbaijan/super-keno-results/,
2026-08-10,,,2,3,9,11,15,18,22,23,25,36,41,43,49,53,57,59,62,64,65,68,Magayo,https://www.magayo.com/lotto/azerbaijan/super-keno-results/,
2026-08-11,,,4,10,15,16,20,22,24,27,30,35,36,40,42,43,46,50,56,57,59,60,Magayo,https://www.magayo.com/lotto/azerbaijan/super-keno-results/,
2026-08-12,,,4,8,11,13,15,16,18,24,28,29,36,42,43,47,49,54,55,59,63,70,Magayo,https://www.magayo.com/lotto/azerbaijan/super-keno-results/,
2026-08-13,,,4,7,10,13,14,21,24,30,36,37,38,52,54,56,57,59,62,63,64,66,Magayo,https://www.magayo.com/lotto/azerbaijan/super-keno-results/,
2026-08-14,,,2,4,5,6,10,11,21,27,30,39,40,41,43,44,48,54,55,57,59,68,Magayo,https://www.magayo.com/lotto/azerbaijan/super-keno-results/,
2026-08-15,,,1,4,7,8,9,12,16,18,22,25,32,38,39,47,54,58,60,63,64,70,Magayo,https://www.magayo.com/lotto/azerbaijan/super-keno-results/,
2026-08-16,,,2,3,5,9,25,26,30,31,33,36,41,48,49,51,57,58,60,62,64,69,Magayo,https://www.magayo.com/lotto/azerbaijan/super-keno-results/,
2026-08-17,,,1,2,10,16,18,19,24,28,34,37,38,39,43,46,47,49,57,58,59,65,Magayo,https://www.magayo.com/lotto/azerbaijan/super-keno-results/,
2026-08-18,,,2,3,8,10,26,27,28,30,31,36,39,43,45,48,49,56,58,62,63,69,Magayo,https://www.magayo.com/lotto/azerbaijan/super-keno-results/,
2026-08-19,,,2,3,6,9,11,14,22,25,27,32,37,43,44,45,47,57,61,62,67,70,Magayo,https://www.magayo.com/lotto/azerbaijan/super-keno-results/,
2026-08-20,,,2,5,20,27,32,35,41,44,45,46,50,57,59,60,61,63,67,68,69,70,Magayo,https://www.magayo.com/lotto/azerbaijan/super-keno-results/,
2026-08-21,26345,,1,7,12,22,23,28,29,30,31,37,40,41,45,46,47,48,52,53,62,70,Azerlotereya / Magayo,https://www.azerlotereya.com/lotereya-neticeleri,Cross-checked against official Azerlotereya results
2026-08-22,,,2,4,16,20,22,24,25,29,30,32,37,43,51,55,56,57,58,60,63,70,Magayo,https://www.magayo.com/lotto/azerbaijan/super-keno-results/,
